,Neighb,Latitude,Longitude,IdVenue,Venue,Lat_venue,Long_venue,Tip_count,Rating,Likes,Photos_count,Category
107,El romeral,36.72117152427656,-4.475025124456899,4debded1e4cdc079f4a95acf,Burger El Dorado II,36.723276457256596,-4.474714774315404,22,5.8,16,18,Burger Joint
108,El romeral,36.72117152427656,-4.475025124456899,4da0e9ab540ea1cdca6a5cde,Cafetería 5 Avenida,36.72070733846918,-4.479354863315908,2,5.8,4,8,Café
109,El romeral,36.72117152427656,-4.475025124456899,4f8a71c7e4b0ddfd832ead88,Cafetería Hospital Clinico,36.717871363264265,-4.477805813599724,3,5.6,1,0,Café
110,El romeral,36.72117152427656,-4.475025124456899,4d7e1e933e50b1f7f102c5d3,Restaurante Chino Lu-Cheng,36.71928499500025,-4.47822073333573,8,5.1,6,3,Chinese Restaurant
111,El romeral,36.72117152427656,-4.475025124456899,4bf28bb320960f47db586e2f,Pura Gula,36.72191816492878,-4.4800237151379285,11,5.1,3,14,Pizza Place
112,El consul-ii,36.72183638712549,-4.479290544149327,5425c0f4498e78cec49bcade,Burguer ETC,36.724182841879546,-4.479928224199706,5,7.9,6,2,Burger Joint
113,El consul-ii,36.72183638712549,-4.479290544149327,4c8233f174d7b60ce6b97dd8,Tapería Bukaro's,36.72105209863715,-4.474286637103221,25,5.5,17,25,Tapas Restaurant
114,El consul-ii,36.72183638712549,-4.479290544149327,4c757aac604a370404cf8249,Bocatería Pizzería Dyno,36.725458064697946,-4.479820788482136,8,5.2,1,11,Burger Joint
115,Pol ind el alamo,36.66091062302783,-4.495360351242423,4bf7d77a5317a593c6a1fe7e,"Taperia ""El Encuentro""",36.66147212146678,-4.498448089897683,7,6.7,5,19,Tapas Restaurant
116,Pol ind el alamo,36.66091062302783,-4.495360351242423,4cd5acef122ba143dadb2da1,Burger King,36.659445,-4.493632,0,5.7,0,0,Fast Food Restaurant
117,Ventaja alta,36.725989545478605,-4.4064684772132265,4eca74a18b81dcfdc6e45d34,Ta-kumi Gastrobar,36.727317,-4.411369,1,7.9,6,1,Sushi Restaurant
118,La mania,36.72897293754315,-4.406887026911823,4cada836628cb1f727142d15,Abreboca,36.72978455235093,-4.4027049285331445,6,7.5,14,10,Mediterranean Restaurant
119,Las morillas,36.722695348331186,-4.465377379278854,51e99e8e498ea73ab700fe2a,Yo ♡ pizza,36.719542291257106,-4.4687387327254955,3,5.7,3,3,Pizza Place
120,Pol ind mi malaga,36.670771787437076,-4.471765244467206,4dfa76a3b0fb0401c7f86892,El Cantaro,36.6726693570111,-4.4729879507933585,2,6.1,5,7,Tapas Restaurant
121,La fabrica,36.731962765692245,-4.563192086412088,4e293cbb18a83a13623a7af9,La Mirada,36.7331299051256,-4.565566511579251,6,7.0,12,10,Spanish Restaurant
122,La fabrica,36.731962765692245,-4.563192086412088,4ef476e0f7909b0d2e25bb3f,Epvlae,36.73325679128339,-4.564483378140872,18,6.0,15,20,Spanish Restaurant
123,La fabrica,36.731962765692245,-4.563192086412088,4b8d0734f964a520e6e432e3,Mariluz,36.733577995372215,-4.566323659764578,7,6.0,5,2,Spanish Restaurant
124,La fabrica,36.731962765692245,-4.563192086412088,4d2ef3fad9d8a143d747fed7,Los Campesinos,36.73321904561195,-4.565880095261027,5,5.8,4,10,Mediterranean Restaurant
125,La fabrica,36.731962765692245,-4.563192086412088,4c63f1f6eb82d13ae40409d6,Restaurante Camposol,36.73269821286651,-4.560165883629262,4,5.3,4,3,Diner
126,El prado,36.72332688959229,-4.537031576997375,4c518082cad99c7424632dc3,Restaurante El Sauce,36.72390482832823,-4.539324835896345,5,6.4,6,9,Spanish Restaurant
127,Cortijo alto,36.71004721041505,-4.462214007324901,4dd5688645ddced820557c51,Cafe-Restaurante GALVEZ,36.70901732648813,-4.4629944305789495,18,7.3,18,29,Tapas Restaurant
128,Pol ind haza angosta,36.684157656898364,-4.467411901222432,4d287b17849f3704652f7441,Ginos Málaga-Nostrum,36.6851538148712,-4.471549572659932,7,6.3,11,16,Italian Restaurant
129,Pol ind haza angosta,36.684157656898364,-4.467411901222432,4d9cbd9a48b6224bfbcc149f,McDonald's,36.68509839610695,-4.4716511543388995,4,5.3,1,9,Fast Food Restaurant
130,Pol ind haza angosta,36.684157656898364,-4.467411901222432,518abe2a498edf25fd72889a,100 Montaditos,36.68505058345304,-4.47212367152006,6,5.2,5,8,Sandwich Place
131,Los girasoles,36.69504513851449,-4.453805492362166,4ea729fe6c25a76b7c9a5a75,Pizzeria Frascati Due,36.691216831938775,-4.454324067726198,4,7.8,7,7,Pizza Place
132,Nuevo san andres 2,36.69825937438452,-4.457525395161882,4fd665e0e4b070e01f5828b6,Dallas,36.695443973199936,-4.453333735779169,3,5.6,5,2,Burger Joint
133,Tabacalera,36.69905269846253,-4.438674943199127,56f154f8498e7b651e829a66,Litoral Pacífico,36.69615552693669,-4.437944728351422,5,8.0,17,13,Mediterranean Restaurant
134,Tabacalera,36.69905269846253,-4.438674943199127,51b78140498e2b16148b0433,Merendero Casa José,36.69955376482411,-4.435390277872295,2,7.3,7,14,Seafood Restaurant
135,Tabacalera,36.69905269846253,-4.438674943199127,4e4a6f25cc3f549fa825188e,Burger King,36.696695735365886,-4.438025838720633,13,6.2,15,42,Fast Food Restaurant
136,Tabacalera,36.69905269846253,-4.438674943199127,4c645b9c7b241b8d0c1ac4ac,Chiringuiro Los Compadres,36.69760823249817,-4.4366902112960815,4,5.9,3,7,Spanish Restaurant
137,Teatinos,36.72189510295635,-4.45996850213086,4e2a842c62e144b5d3a2433a,Cafetería El Colmenero de Alhaurín,36.720319542774014,-4.460372024239214,5,6.5,4,7,Café
138,Los molinos,36.728099492610696,-4.468556307939865,4bf52fc094af2d7f42603b72,Burger King,36.73108334627511,-4.468861571106539,5,6.3,8,9,Fast Food Restaurant
139,Haza cuevas,36.71962567698582,-4.4370778400339015,4fd513367bebfa22722a5c57,De La Mota Café,36.721413644543496,-4.432706578091716,3,7.2,14,18,Café
140,Marmoles,36.72031125252147,-4.432229541374743,4d9d692c8ab0530c96b7467e,El Oasis de Juani,36.71835607307773,-4.428151837495996,5,5.6,4,10,Café
141,Castillo santa catalina,36.724835926435176,-4.394148842470715,4c041da958dad13a95364897,Limonar 40,36.72773210779663,-4.397914096870283,11,7.1,16,54,Spanish Restaurant
